platform,author,title,content,rating,version,vote_sum,vote_count,updated,review_id,country
appstore,xoffo@naver,대박 완전 좋음.,"저는 학교에서 디지털 수업하다 알게 되었는데, 왜 깔게 되었냐면 저는 유튜버기 때문입니다. 유튜버 초보자가 사용하기 너무 좋은 것 같아요.자막도 충분쓰. 저는 그래서 5점 드릴게요.이 앱은 돈도 안 줘도 되고 광고도 없고 빨리 편집하기가 넘 좋습니다.",5,0.9.8,0,0,2025-11-01T00:40:33-07:00,13341096395,kr
appstore,돌 걸려 넘어진 스님,회원가입이 안돼요,왜이렁게 어렵게 회원가입을 하라는건지모르겠네요ㅠㅠㅠ 똥밟았다고 생각할께요ㅠㅠㅠ,1,0.9.8,0,0,2025-10-06T02:39:14-07:00,13230607890,kr
appstore,ㅓ냥두,술래잡기 김피디랑 시율이랑술래잡기했습니다 술래잡기 상당히재미있네,술래잡기,5,0.9.8,0,0,2025-09-30T06:21:17-07:00,13204655855,kr
appstore,cherishi!!,모바일로도 기능 늘려주세요.,할수있는게 너무 없네요ㅠㅠ,3,0.9.7,0,0,2025-09-02T07:11:18-07:00,13090292607,kr
appstore,오제츠로로,구글 아이디로 로그인 할 수있게 해주세요,컴퓨터 브류 유료결제해서 사용중인데 모바일 연동 안되나요 ㅠㅠㅠ,5,0.9.7,0,0,2025-08-05T03:40:20-07:00,12978421538,kr
appstore,do sdthg,모바일 TTS 지원 안돼나요?,왜 안돼죠?,4,0.9.7,0,0,2025-06-22T10:37:37-07:00,12804922630,kr
appstore,지누노노ㅗ노,앱으로 할 수 있는게 뭐죠?,대체 앱으로 할수 있는게 뭐죠? ;;;;,1,0.9.7,0,0,2025-06-14T17:22:16-07:00,12775273779,kr
appstore,후이쭈,PC처럼 음성파일에 영상 불러오기가 안되나요?,PC에서 너무 잘쓰고 있어서 모바일로 받았는데요~ PC에서는 음성 불러와서 그 음성에 맞는 영상이나 사진 추가해서 만들수가 있었는데 모바일에서는 음성+,4,0.9.7,0,0,2025-04-14T06:08:42-07:00,12542239340,kr
appstore,올드스쿨78,대박,그냥 대박임 간단 명료하고 필요한 기능만 똭!!!,5,0.9.7,0,0,2025-01-14T00:09:17-07:00,12182432499,kr
appstore,스윙감,PC와 ios 기기간 프로젝트 공유,안녕하세요 서비스 너무 잘 쓰고 있는데요 PC에서 작업하던 프로젝트를 아이폰이나 아이패드로 이어서 작업할 수 있는 방법은 없나요?,4,0.9.7,0,0,2024-09-26T16:08:57-07:00,11768282579,kr
appstore,개베빡치니까,효과음하고 텍스트 추가만 넣을수있어도,"캡컷 버릴수있었는데…….하…진짜 뭘 써봐도 캡컷만한게 없는듯
Pc버전도 아니고 아이패드랑 폰뿐이라서 안타깝지만 다시 캡컷으로 돌아감. . . . 그래도 블로 웨일로 필모라 키마 보다 편하고 좋음 모바일버전도 효과음만 넣어줘도 좋을듯 텍스트추가는왜 안됨?",3,0.9.7,0,0,2024-08-07T15:15:00-07:00,11584120836,kr
appstore,잘못눌러서 결제됐어요...ㅜㅜ,최고의 앱,너무 감사 무한감사 드립니다 ..,5,0.9.5,0,0,2024-07-18T22:01:41-07:00,11509555002,kr
appstore,hermes99,60fps 영상출력이 안되네요,루마퓨전으로 60fps로 작업한 영상을 자막을 넣어서 vrew로 4K 60fps로 출력하면 4K 30fps로 인코딩이 되네요. 원본은 60fps인데 60fps로 설정해도 왜 30fps로 나오나요?,3,0.9.3,0,0,2024-05-27T09:22:17-07:00,11313386616,kr
appstore,Vrewer,서버에 오류가 있는지요?,"늘 잘 쓰고 있어 감사 드립니다.
다만 근래 서버에서 오류가 발생하였다면서 음성 업로드 및 분석이 되지 않는데 일시적 현상일지요? 사용을 못하고 있어 곤란한 상황이라 조속히 해결 되었으면 하는 바람입니다.",5,0.9.3,0,0,2024-03-02T07:23:45-07:00,11000221825,kr
appstore,이거재미지다,원고 수정하지 말고 그대로 불러 올 수 있게 해주세요!제발!!!!!!!!!,텍스트로 원고 최종 수정까지 완료한 후 불러오기 하면 그대로 불러오는 게 아니고 ai가 임의적으로 원고를 수정해서 오타가 종종 발생해요! 그럼 또 수정을 해야 해서 일을 두 번 해야 합니다!! 수정하지 말고 원고 그대로 불러올 수 있게 해주세요!!,5,0.9.3,0,0,2024-02-21T23:01:35-07:00,10966065188,kr
appstore,최골롬,감사합니다,너무유용하게 잘 쓰고있습니다.,5,0.9.3,0,0,2024-02-17T20:05:25-07:00,10951130630,kr
appstore,로블록스에 미췬옴,폅집,???!?,5,0.9.2,0,0,2024-01-29T17:35:24-07:00,10879288814,kr
appstore,신준식목사,모바일에서도,모바일 앱에서도 텍스트로 영상 만들기 부탁해요.,4,0.9.2,0,0,2024-01-27T15:45:30-07:00,10871607996,kr
appstore,실망..험,아이패드에서도 Text로 영상제작 가능하게 해주세요,"너무 잘 이유하고 구독도 하고 있습니다.

한가지 요청사항은 PC 뿐만 아니라 아이패드에서도 Text로 영상제작이 가능하게 요청드립니다.",5,0.9.,0,0,2024-01-09T16:41:16-07:00,10804153874,kr
appstore,빵블666,최고입니다,"근데 최근에 이상하게 중국어만 번역기능 사용하려하면
형식에 맞지 않다는 오류가 계속 뜹니다 ㅜㅜ 확인 주시면 감사하겠습니다",5,0.8.6,0,0,2023-10-30T16:13:30-07:00,10533091980,kr
appstore,prcom-adkim,1st Good,It's the best app I use. I recommend it to everyone.,5,0.8.6,0,0,2023-10-08T00:08:49-07:00,10451263139,kr
appstore,예주파파,너무 좋네요.,"거기에 무료라라라라니.
대백",5,0.8.6,0,0,2023-09-12T07:37:36-07:00,10360968779,kr
appstore,로집사,자막 작성 편집에 최고입니다.,중간 무음구간 줄이기 등 디테일한 편집을 편하게 할 수 있어서 너무 좋네요,5,0.8.6,0,0,2023-05-16T19:06:34-07:00,9934688669,kr
appstore,첫차 어플이 짱,항상 좋은일만 있기를 바랍니다,사용 하는 동안에 도움이 많이 되었습니다,5,0.8.6,0,0,2023-04-24T07:44:06-07:00,9856349492,kr
