rating,updated,review_text,Sentiment_label,Sentiment_score
5,2025-11-01,"저는 학교에서 디지털 수업하다 알게 되었는데, 왜 깔게 되었냐면 저는 유튜버기 때문입니다. 유튜버 초보자가 사용하기 너무 좋은 것 같아요.자막도 충분쓰. 저는 그래서 5점 드릴게요.이 앱은 돈도 안 줘도 되고 광고도 없고 빨리 편집하기가 넘 좋습니다.",긍정,0.9880656003952026
1,2025-10-06,왜이렁게 어렵게 회원가입을 하라는건지모르겠네요ㅠㅠㅠ 똥밟았다고 생각할께요ㅠㅠㅠ,부정,0.05016696825623512
5,2025-09-30,술래잡기,긍정,0.6911354660987854
3,2025-09-02,할수있는게 너무 없네요ㅠㅠ,부정,0.20166298747062683
5,2025-08-05,컴퓨터 브류 유료결제해서 사용중인데 모바일 연동 안되나요 ㅠㅠㅠ,부정,0.22984753549098969
4,2025-06-22,왜 안돼죠?,부정,0.36685770750045776
1,2025-06-14,대체 앱으로 할수 있는게 뭐죠? ;;;;,부정,0.1951269507408142
4,2025-04-14,PC에서 너무 잘쓰고 있어서 모바일로 받았는데요~ PC에서는 음성 불러와서 그 음성에 맞는 영상이나 사진 추가해서 만들수가 있었는데 모바일에서는 음성+,부정,0.48529052734375
5,2025-01-14,그냥 대박임 간단 명료하고 필요한 기능만 똭!!!,긍정,0.9822381138801575
4,2024-09-26,안녕하세요 서비스 너무 잘 쓰고 있는데요 PC에서 작업하던 프로젝트를 아이폰이나 아이패드로 이어서 작업할 수 있는 방법은 없나요?,긍정,0.9194637537002563
3,2024-08-07,캡컷 버릴수있었는데…….하…진짜 뭘 써봐도 캡컷만한게 없는듯 Pc버전도 아니고 아이패드랑 폰뿐이라서 안타깝지만 다시 캡컷으로 돌아감. . . . 그래도 블로 웨일로 필모라 키마 보다 편하고 좋음 모바일버전도 효과음만 넣어줘도 좋을듯 텍스트추가는왜 안됨?,긍정,0.975222647190094
5,2024-07-18,너무 감사 무한감사 드립니다 ..,긍정,0.9753627181053162
3,2024-05-27,루마퓨전으로 60fps로 작업한 영상을 자막을 넣어서 vrew로 4K 60fps로 출력하면 4K 30fps로 인코딩이 되네요. 원본은 60fps인데 60fps로 설정해도 왜 30fps로 나오나요?,부정,0.13670407235622406
5,2024-03-02,늘 잘 쓰고 있어 감사 드립니다. 다만 근래 서버에서 오류가 발생하였다면서 음성 업로드 및 분석이 되지 않는데 일시적 현상일지요? 사용을 못하고 있어 곤란한 상황이라 조속히 해결 되었으면 하는 바람입니다.,긍정,0.8880177140235901
5,2024-02-21,텍스트로 원고 최종 수정까지 완료한 후 불러오기 하면 그대로 불러오는 게 아니고 ai가 임의적으로 원고를 수정해서 오타가 종종 발생해요! 그럼 또 수정을 해야 해서 일을 두 번 해야 합니다!! 수정하지 말고 원고 그대로 불러올 수 있게 해주세요!!,부정,0.01807389035820961
5,2024-02-17,너무유용하게 잘 쓰고있습니다.,긍정,0.9175304174423218
5,2024-01-29,???!?,부정,0.30109745264053345
4,2024-01-27,모바일 앱에서도 텍스트로 영상 만들기 부탁해요.,긍정,0.7016153335571289
5,2024-01-09,너무 잘 이유하고 구독도 하고 있습니다.  한가지 요청사항은 PC 뿐만 아니라 아이패드에서도 Text로 영상제작이 가능하게 요청드립니다.,긍정,0.9304918050765991
5,2023-10-30,근데 최근에 이상하게 중국어만 번역기능 사용하려하면 형식에 맞지 않다는 오류가 계속 뜹니다 ㅜㅜ 확인 주시면 감사하겠습니다,부정,0.09824931621551514
5,2023-10-08,It's the best app I use. I recommend it to everyone.,긍정,0.9701238870620728
5,2023-09-12,거기에 무료라라라라니. 대백,긍정,0.7022276520729065
5,2023-05-16,중간 무음구간 줄이기 등 디테일한 편집을 편하게 할 수 있어서 너무 좋네요,긍정,0.9871727228164673
5,2023-04-24,사용 하는 동안에 도움이 많이 되었습니다,긍정,0.9740556478500366
5,2023-04-21,"제가 어플로 아이폰,안드. 둘다. 만드시라고. 제안했던사람 입니다. 잘되서 너무. 뿌듯하네요^^",긍정,0.991005539894104
5,2023-04-17,핸드폰 앱으로는 ai 음성 삽입 불가능 한가요?,부정,0.13372094929218292
5,2023-03-30,안녕하세요  AI음성 누르는데가 안보여요 혹시 아이폰이라 그럴까요?,부정,0.2155819982290268
2,2023-02-21,고생 많으십니다. PC판은 글을 입력하면 인공지능이 읽는 기능이 있던데 아이패드에서는 이 기능을 못 찾고 있습니다.,긍정,0.8131656050682068
3,2023-02-15,메일을 계속보내는데 메일이 안옵니다  다른 이메일은 오는데 ㅜㅜ,부정,0.004198315087705851
4,2023-02-10,다크모드는 지원안되나요 ㅠㅠ,긍정,0.5523037314414978
5,2023-01-26,자막 텍스트파일 불러와서 확인 누르면 적용이 안되네요. 제가 잘못하고 있는건가요??,부정,0.0695720762014389
5,2023-01-14,이런 어플 만들어 주셔서 감사합니다. 덕분에 언제 어디서나 편집하고 있습니다.,긍정,0.9810836911201477
5,2023-01-13,유료가 되어도 꼭 구매하고 쓸게요 ^^. 항상 감사합니다.,긍정,0.9932006001472473
5,2022-12-24,피씨에서도 휴대폰에서도 다 잘 되네요.,긍정,0.9908478260040283
4,2022-12-22,혹시 pc버젼말고 앱에서도 ai 성우 안나오나요 ??,긍정,0.8636960387229919
5,2022-12-09,최고의 선물,긍정,0.9768600463867188
5,2022-11-14,작업시간을 최소 3-5시간 줄여줬다 상받아야한다. 동영상편집쪽도 만들어서 1등해주세요  와나 나만알고싶어,긍정,0.9023399949073792
5,2022-11-06,제가 지금 1달 정도 이걸로 동영상 편집하고 있거든요 짱이예요. 오른쪽 아래에 vrew라고 써저있는것만 빼면 짱좋아요,긍정,0.979021430015564
5,2022-09-11,"앱 너무너무 좋아요,, 헝가리어 같은 다른 언어들도 꼭 추가해주셨으면 좋겠습니당 🥹🥹",긍정,0.9866272807121277
5,2022-08-17,사랑합니다~,긍정,0.9460007548332214
3,2022-06-01,안녕하세요...그동안 Vrew 와 함께 많은 영상을 만들었는데요... 최근들어서 영상을 자막과 함께 추출할때....60 프레임 으로 추출 하는데 계속해서 결과물은 30 프레임으로 저장이 됩니다... 예전에는 60 프레임 하면 그대로 저장 되었는데...왜 그런가요? 어떻게 문제를 해결할수 있나요??,부정,0.303407222032547
4,2022-04-10,열심히 개발중이시겠죠 기다리겠습니다,부정,0.46307194232940674
5,2022-03-21,저는 현재 브루를 굉장히 잘쓰고 있는데요 이 앱을 진짜 많이 추천합니다  첫번째 자동자막이 너무 잘됌 두번째 자르기가 쉬움 세번째 조작법이 쉬움 더 있지만 그만하겠습니다 아무튼 전 이 앱이 너무 좋아요,긍정,0.9006005525588989
5,2022-03-08,개발자님 진짜 최고 돈 많이 버세요 너무 감사해요♥️,긍정,0.990694522857666
5,2022-03-05,알아서 자막을 달아주니 자막 붙이기도 편하고 편집하기도 내용구분이 쉽습니다.,긍정,0.9807834029197693
4,2022-01-19,진짜 엄청 잘 쓰고 있었는데 갑자기 워터마크 제거가 안됩니다ㅠㅠ 워터마크가 흐릿하게 보여요,부정,0.0738355740904808
5,2021-10-28,"작년에 몇 번 쓰다가 익숙지 않아서 그만 두었었는데 오랜만에 다시 편집해보니 더 편하고 폰트도 예뻐지고, 음성인식도 더 좋아진 게 보입니다!  게다가 다른 프로그램보다 확실히 컷편집도 쉽다는 게 큰 장점이네요  다만 한 화면에서 자막이 하나만 생성되는 점(예를 들면 말하는 자막을 깔고 좌 상단에 그 도움 설명을 넣고자 해요..!)이 약간 불편하고,  그리고 로고나 도움 사진 등을 넣고 싶은데 pip가 안 되는 점도 개선된다면 정말 좋을 것 같아요.  마지막으로, 소스를 추가할 때 지금은 시간 역순으로 나오는데 기본 사진첩처럼 즐겨찾기 앨범으로 전에 만들어둔 영상을 넣을 수 있으면 좋겠습니다.  아, 그리고 이건 문의사항인데, 아이패드만 사용하는데 프로젝트 파일을 루마퓨전 등으로 내보내는 건 안 되는 건가요?? vrew의 장점은 어절로 화면 편집이 쉽게 가능한 건데, 위의 다중 자막, 로고 등의 문제를 해결하기 위해 다른 프로그램을 같이 쓰려니 결국 다른 프로그램에서 편집을 다 끝내고 자막을 마지막으로 달러와야 하더라고요. 그런데 그러면 vrew의 저 큰 장점을 유용하게 쓸 수가 없다는 점이 아쉬워서요..!",긍정,0.9737584590911865
5,2021-10-05,"사진 수정할때, 사진을 여러게 묶어서 동영상 만들때 주로 사용하고있는데 너무 편하고 좋아요! 인공지능 인식은 Siri 뺨때리는 수준이고요. 좋은 콘텐츠 만들어주셔서 정말 감사해요!",긍정,0.9924403429031372
5,2021-10-03,안녕하세요 오늘 브루를 처음 써본 초보 유튜버입니다 취미로 영상 가끔씩 올리는데 자막을 못 넣어서 매일 아쉬웠었는데 이제는 그 아쉬움을 날려버릴수 있을것 같습니다 사용법도 간단해서 편하게 자막을 넣을수 있어서 너무 좋습니다. 이런앱을 만들어주셔서 감사합니다.,긍정,0.9938995838165283
5,2021-08-02,"몇몇 아쉬운점이 있지만, 간단한 컷과 빠른 자막으로 잘 사용하고 있습니다..",긍정,0.8949756026268005
4,2021-07-26,전체 자막 복사 후 다른 프로젝트 동영상에 씌우기 위해 붙여넣기를 시도해도 클립보드에 복사된 것이 없다고 뜹니다. 목소리 없이 자막만 들어가는 브이로그 편집을 위해 어플을 사용하고 있습니다. 목소리가 들어간 영상에서 추출한 텍스트를 다른 프로젝트 영상(목소리가 삭제된 영상)에 삽입할 수 있는 방법은 없나요?,부정,0.19929775595664978
5,2021-07-24,단언컨데 역대급 편집툴입니다…,긍정,0.9202585816383362
5,2021-07-24,자막 뿐 아니라 필요없는 무음구간까지 편집하니  시간이 많이 절약 됩니다.  아이무비나 다른 편집앱보다 훨씬 엣지 있답니다~,긍정,0.9943732023239136
5,2021-07-19,자막이 나와 너무 좋습니다,긍정,0.981092095375061
5,2021-06-28,"웬만한 어플은 리뷰 안쓰는데, 넘 만족스러워서 작성해요! 유튭 편집하면서 pc버전으로 주로 쓰고, 어플은 영어번역이 필요할때 주오 사용해요 ㅎㅎ  영어번역이 넘 퀄리티있고 센스있어요! :) 감사합니다",긍정,0.9951238036155701
3,2021-05-29,자막기능 당연히 베스트입니다. 다만 최근 내보내기 기능이 되지 않아 짜증날 떄가 한두번이 아니에요. 계속 다시 시도하라고 나옵니다. 재부팅을 해도 되지 않아 화가 납니다.,부정,0.12494253367185593
5,2021-03-22,들숨에 재력과 날숨에 건강하십시오,긍정,0.7509366869926453
5,2021-03-11,"와,,,진짜 저 살면서 아이폰 어플 리뷰 한 번도 해본 적 없는 사람인데, 개발자님 너무 멋있습니다. 덕분에 대학교 싸강 영어 수업 따라가기 어려웠는데, 이 어플로 제대로 공부하고 있습니다. ㅠㅠ듣기가 약해서 좌절하면서 수업듣고 있었는데, 한국교수님이 영어로 이야기하는 수업인데도 발음 음원인식 너무 잘해서 덕분에 편하게 수업 듣고 있습니다. 심지어 동시자막 인식까지,,살면서 가장 유용하고 편하게 도움 받으며 쓰는 어플 같네요. 진심으로 감사합니다. 개발자님 적게 일하고 많이 벌으세요❤️",긍정,0.9938686490058899
5,2021-03-06,Ui가 편하게 잘 되어있어요! 간단한 영상 보정까지 가능하면 더 좋을 거 같습니다. 폰트 검색도 가능하면 더더 좋겠어요!,긍정,0.993790328502655
5,2021-02-24,영상 작업하면서 제일 노가대 중 하나가 자막이었는데 한방에 해결합니다. 정확도도 좋고 디자인도 좋고 사용하기도 편합니다. 별 다섯개 꾹꾹 누르고 갑니다.,긍정,0.9894541501998901
5,2021-02-22,자막이 동시에 여러개 들어갈 수 있는 기능이 생기면 정말정말 좋을 것 같아요!! 한 컷에 자막 하나가 아닌 여러개 이곳 저곳 넣을 수 있게요! 제발 이 기능 부탁드려요~ 그리구 자막에 키프레임 설정도 생긴다면 완전 완벽입니다!,긍정,0.986111044883728
