platform,country,rating,date,review_text,detected_lang,sentiment_label,sentiment_score
appstore,jp,5,2026-03-05 17:40:23,普段からお世話になっております。有料化大歓迎なので、モバイル版もサービス継続して欲しいです。買い切りでなく、サブスクでも加入する方はきっと多いはずです。まだお時間あると思います。ご検討いただけますと幸いです。僕は100%今後も使います。,ja,중립,0.6754658222198486
appstore,kr,5,2026-03-03 11:29:32,"너무 잘쓰고 있어요
사비스 중지를 멈출 수는 없는거겠죠?
유료화라도 결제해서 사용할게요
브루를 대체할만한 자막어플이 없어요",ko,긍정,0.9538675546646118
googleplay,kr,5,2026-03-02 05:20:34,모바일 종료라니 ㅜㅜ 너무 잘쓰고 있는데..,ko,중립,0.6174005270004272
googleplay,kr,5,2026-02-27 23:43:07,자막 쉽게 넣을 수 있어서 진짜 너무 편했는데 바로 섭종이라니...;;; ㅠㅠ,ko,중립,0.6935086250305176
googleplay,kr,5,2026-02-25 11:44:50,모바일버전이 없어질 예정이라니... 폰 편집을 자주 활용하는 사람이라 너무 아쉽네요 🥲,ko,중립,0.35803043842315674
googleplay,kr,5,2026-02-24 09:54:37,모바일버전 계속 사용할 수 있게 해주세요 ㅠㅠ,ko,긍정,0.9209828972816467
appstore,kr,5,2026-02-24 08:55:08,사라지지마요..ㅜㅜ 이제 겨우 좋은 어플 찾았는데..ㅜㅜ,ko,중립,0.5569304823875427
appstore,jp,5,2026-02-24 03:34:55,"動画編集の時いつも利用させて頂いています♡
無くなってしまうのは困ります💦
何とかならないのでしょうか…",ja,중립,0.6067878007888794
googleplay,kr,5,2026-02-24 00:37:51,일상 속 간편한 영상제작 하는데 아주 편리해서 모바일 버전 서비스가 곧 종료된다는 소식 너무나도 안타깝게 느껴지네요. 감사했습니다.,ko,긍정,0.9926102757453918
googleplay,jp,5,2026-02-22 01:24:03,最近使うようになりました。今までの AI 文字起こしの中で圧倒的な クオリティです。無料でここまで使えるのはすごいただ 7月でブラウザ版が使えなくなるようです。今後 スマホで使える文字起こし を期待しています。,ja,긍정,0.7277153730392456
googleplay,kr,5,2026-02-21 09:12:09,그동안 진심으로 감사했습니다 7월1일까지 잘 사용하겠습니다 정말 진심으로 감사했습니다,ko,긍정,0.9678726196289062
appstore,kr,5,2026-02-18 07:57:26,good 입니다.,so,긍정,0.9625343084335327
appstore,jp,5,2026-02-16 12:48:35,何年も愛用していました。とっても使いやすく、なくてはならない存在でまさか終了してしまうとは、、とても残念です😢課金するのでなくならないで。,ja,중립,0.6490420699119568
googleplay,kr,5,2026-02-13 00:21:42,영상 편집이 작업이 편해서 좋아요,ko,긍정,0.9587379693984985
googleplay,kr,4,2026-02-12 18:40:55,"PC다운 받을수 있다고 했는데,,,안되는데요. 어떻게 해야하는지..",ko,부정,0.05303405597805977
appstore,kr,5,2026-02-09 13:19:52,ㅠㅠ 아쉽네요 이어플 너무 좋은데,ko,긍정,0.7022277116775513
