platform,author,title,content,rating,version,vote_sum,vote_count,updated,review_id,country,reviewId,userImage,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion,lang,review_text,clean_text,tokens,tokens_str
appstore,xoffo@naver,대박 완전 좋음.,"저는 학교에서 디지털 수업하다 알게 되었는데, 왜 깔게 되었냐면 저는 유튜버기 때문입니다. 유튜버 초보자가 사용하기 너무 좋은 것 같아요.자막도 충분쓰. 저는 그래서 5점 드릴게요.이 앱은 돈도 안 줘도 되고 광고도 없고 빨리 편집하기가 넘 좋습니다.",5,0.9.8,0.0,0.0,2025-11-01,13341096395.0,kr,,,0.0,,NaT,,,,,"저는 학교에서 디지털 수업하다 알게 되었는데, 왜 깔게 되었냐면 저는 유튜버기 때문입니다. 유튜버 초보자가 사용하기 너무 좋은 것 같아요.자막도 충분쓰. 저는 그래서 5점 드릴게요.이 앱은 돈도 안 줘도 되고 광고도 없고 빨리 편집하기가 넘 좋습니다.",저는 학교에서 디지털 수업하다 알게 되었는데 왜 깔게 되었냐면 저는 유튜버기 때문입니다 유튜버 초보자가 사용하기 너무 좋은 것 같아요 자막도 충분쓰 저는 그래서 5점 드릴게요 이 앱은 돈도 안 줘도 되고 광고도 없고 빨리 편집하기가 넘 좋습니다,"['학교에서', '디지털', '수업하다', '알게', '되었는데', '깔게', '되었냐면', '유튜버기', '때문입니다', '유튜버', '초보자가', '사용하기', '좋은', '자막도', '충분쓰', '드릴게요', '앱은', '돈도', '줘도', '광고도', '편집하기가', '좋습니다']",학교에서 디지털 수업하다 알게 되었는데 깔게 되었냐면 유튜버기 때문입니다 유튜버 초보자가 사용하기 좋은 자막도 충분쓰 드릴게요 앱은 돈도 줘도 광고도 편집하기가 좋습니다
appstore,돌 걸려 넘어진 스님,회원가입이 안돼요,왜이렁게 어렵게 회원가입을 하라는건지모르겠네요ㅠㅠㅠ 똥밟았다고 생각할께요ㅠㅠㅠ,1,0.9.8,0.0,0.0,2025-10-06,13230607890.0,kr,,,0.0,,NaT,,,,,왜이렁게 어렵게 회원가입을 하라는건지모르겠네요ㅠㅠㅠ 똥밟았다고 생각할께요ㅠㅠㅠ,왜이렁게 어렵게 회원가입을 하라는건지모르겠네요 똥밟았다고 생각할께요,"['왜이렁게', '어렵게', '회원가입을', '하라는건지모르겠네요', '똥밟았다고', '생각할께요']",왜이렁게 어렵게 회원가입을 하라는건지모르겠네요 똥밟았다고 생각할께요
appstore,ㅓ냥두,술래잡기 김피디랑 시율이랑술래잡기했습니다 술래잡기 상당히재미있네,술래잡기,5,0.9.8,0.0,0.0,2025-09-30,13204655855.0,kr,,,0.0,,NaT,,,,,술래잡기,술래잡기,['술래잡기'],술래잡기
appstore,cherishi!!,모바일로도 기능 늘려주세요.,할수있는게 너무 없네요ㅠㅠ,3,0.9.7,0.0,0.0,2025-09-02,13090292607.0,kr,,,0.0,,NaT,,,,,할수있는게 너무 없네요ㅠㅠ,할수있는게 너무 없네요,"['할수있는게', '없네요']",할수있는게 없네요
appstore,오제츠로로,구글 아이디로 로그인 할 수있게 해주세요,컴퓨터 브류 유료결제해서 사용중인데 모바일 연동 안되나요 ㅠㅠㅠ,5,0.9.7,0.0,0.0,2025-08-05,12978421538.0,kr,,,0.0,,NaT,,,,,컴퓨터 브류 유료결제해서 사용중인데 모바일 연동 안되나요 ㅠㅠㅠ,컴퓨터 브류 유료결제해서 사용중인데 모바일 연동 안되나요,"['컴퓨터', '브류', '유료결제해서', '사용중인데', '모바일', '연동', '안되나요']",컴퓨터 브류 유료결제해서 사용중인데 모바일 연동 안되나요
appstore,do sdthg,모바일 TTS 지원 안돼나요?,왜 안돼죠?,4,0.9.7,0.0,0.0,2025-06-22,12804922630.0,kr,,,0.0,,NaT,,,,,왜 안돼죠?,왜 안돼죠,['안돼죠'],안돼죠
appstore,지누노노ㅗ노,앱으로 할 수 있는게 뭐죠?,대체 앱으로 할수 있는게 뭐죠? ;;;;,1,0.9.7,0.0,0.0,2025-06-14,12775273779.0,kr,,,0.0,,NaT,,,,,대체 앱으로 할수 있는게 뭐죠? ;;;;,대체 앱으로 할수 있는게 뭐죠,"['대체', '앱으로', '할수', '있는게', '뭐죠']",대체 앱으로 할수 있는게 뭐죠
appstore,후이쭈,PC처럼 음성파일에 영상 불러오기가 안되나요?,PC에서 너무 잘쓰고 있어서 모바일로 받았는데요~ PC에서는 음성 불러와서 그 음성에 맞는 영상이나 사진 추가해서 만들수가 있었는데 모바일에서는 음성+,4,0.9.7,0.0,0.0,2025-04-14,12542239340.0,kr,,,0.0,,NaT,,,,,PC에서 너무 잘쓰고 있어서 모바일로 받았는데요~ PC에서는 음성 불러와서 그 음성에 맞는 영상이나 사진 추가해서 만들수가 있었는데 모바일에서는 음성+,PC에서 너무 잘쓰고 있어서 모바일로 받았는데요 PC에서는 음성 불러와서 그 음성에 맞는 영상이나 사진 추가해서 만들수가 있었는데 모바일에서는 음성,"['잘쓰고', '모바일로', '받았는데요', '에서는', '음성', '불러와서', '음성에', '맞는', '영상이나', '사진', '추가해서', '만들수가', '있었는데', '모바일에서는', '음성']",잘쓰고 모바일로 받았는데요 에서는 음성 불러와서 음성에 맞는 영상이나 사진 추가해서 만들수가 있었는데 모바일에서는 음성
appstore,올드스쿨78,대박,그냥 대박임 간단 명료하고 필요한 기능만 똭!!!,5,0.9.7,0.0,0.0,2025-01-14,12182432499.0,kr,,,0.0,,NaT,,,,,그냥 대박임 간단 명료하고 필요한 기능만 똭!!!,그냥 대박임 간단 명료하고 필요한 기능만 똭,"['대박임', '간단', '명료하고', '필요한', '기능만']",대박임 간단 명료하고 필요한 기능만
appstore,스윙감,PC와 ios 기기간 프로젝트 공유,안녕하세요 서비스 너무 잘 쓰고 있는데요 PC에서 작업하던 프로젝트를 아이폰이나 아이패드로 이어서 작업할 수 있는 방법은 없나요?,4,0.9.7,0.0,0.0,2024-09-26,11768282579.0,kr,,,0.0,,NaT,,,,,안녕하세요 서비스 너무 잘 쓰고 있는데요 PC에서 작업하던 프로젝트를 아이폰이나 아이패드로 이어서 작업할 수 있는 방법은 없나요?,안녕하세요 서비스 너무 잘 쓰고 있는데요 PC에서 작업하던 프로젝트를 아이폰이나 아이패드로 이어서 작업할 수 있는 방법은 없나요,"['안녕하세요', '쓰고', '있는데요', '작업하던', '프로젝트를', '아이폰이나', '아이패드로', '이어서', '작업할', '있는', '방법은', '없나요']",안녕하세요 쓰고 있는데요 작업하던 프로젝트를 아이폰이나 아이패드로 이어서 작업할 있는 방법은 없나요
